#{"t_start": 1746547430.1240034, "env_id": "None"}
r,l,t
-0.123018265,30,256.06181
11.424755,37,256.600949
-2.9241848,258,260.496589
0.051558733,45,261.125786
0.0068490505,49,261.82074
11.196842,38,262.357768
-0.2549497,51,263.108155
-0.16071594,17,263.363598
-0.28388226,19,263.689777
11.175669,45,264.330879
-1.0421528,37,264.869273
11.087398,52,265.590697
-0.024963975,30,266.036923
-0.25717562,17,266.286714
-0.25135362,17,266.54575
11.37339,31,267.001736
-0.45079452,44,267.643652
-2.9570158,258,271.324405
-0.94065005,227,274.621651
11.22303,47,275.282595
-0.408835,47,275.942717
11.424048,26,276.320867
0.064857006,52,277.064993
11.190011,76,278.161833
0.24517024,21,278.461533
-0.017419934,18,278.73134
-0.22057837,46,279.37658
11.168817,40,279.945801
-0.124527335,17,280.19735
-0.4371596,17,280.434792
11.301471,55,281.248714
-0.33881658,30,281.694738
-0.34237558,17,281.945516
0.0033174753,19,282.229771
-0.016061664,35,282.742674
-0.26839942,37,283.271593
-0.2801245,18,287.703785
-0.40192246,56,288.494655
-0.1297971,18,288.754713
-0.29235464,30,289.179664
-0.47796983,20,289.473381
-0.72129595,15,289.689805
-0.85828674,19,289.969632
-0.18508512,18,290.225949
-0.19135344,37,290.761836
-0.10860503,21,291.094679
11.150952,63,292.02284
-0.38283652,15,292.246946
-0.23557079,17,292.492809
-0.3179531,33,293.020899
0.14417732,37,293.661832
-1.1813681,27,294.073022
-0.355183,17,294.333947
-0.14216459,28,294.752908
-0.10378337,19,295.043549
-0.47606355,37,295.607776
-0.46576196,16,295.880774
-0.65382016,32,296.335012
-0.083295345,17,296.585353
0.04197526,29,297.034564
11.276403,69,298.004598
0.07482374,36,298.511918
-0.33292592,21,298.820927
11.094587,41,299.396568
-0.08570397,21,299.713766
-0.81269956,18,299.979623
11.20249,32,300.443803
-0.09103,28,300.864555
0.11089194,39,301.408317
-0.75959456,35,301.901658
11.1277895,36,302.433586
11.454798,42,303.129599
-0.18070084,35,303.72243
-0.029890895,20,304.089725
-0.47643882,72,305.198771
-3.6771264,258,309.491538
11.210991,37,310.149232
-0.39240062,45,310.852024
-0.14978534,43,311.524228
11.139561,38,312.324748
-2.8776996,258,316.662546
-0.26865715,16,316.935814
-2.8902042,258,327.354926
11.352171,23,327.71341
11.365028,20,328.01965
11.119425,39,328.58765
0.10805225,18,328.855836
-0.18606716,16,329.091532
-0.7600889,4,329.167549
-0.27943432,15,329.431644
-0.31783658,16,329.666971
-1.0016661,29,330.214565
-0.018389821,31,330.732745
-0.5800266,121,332.45967
11.120668,64,333.374761
-0.85030746,16,333.635957
-0.25416118,38,334.191629
-0.2793982,25,334.554644
-1.0591791,23,334.903613
-0.3293681,30,335.340619
-0.34223574,15,335.565781
11.3406315,21,335.869715
11.245695,28,336.295605
-0.96335405,32,336.769183
11.098162,45,337.424963
-0.050978422,36,338.022764
0.039416194,30,338.470876
11.5179205,21,338.827872
-0.84639096,30,339.297598
-0.5906826,130,341.203896
-0.34770483,15,341.43083
-0.45753276,30,341.885726
0.18487465,20,342.169216
-2.9280326,258,345.895616
-0.66231567,16,346.141174
-0.630351,58,346.96998
11.165718,35,347.469527
-0.04849696,46,348.124322
-0.7106565,42,348.717969
-0.20569855,17,348.961377
0.08901334,30,349.40457
0.24118495,34,349.894594
-0.417449,17,350.14272
-0.6635346,33,350.61265
-0.33763272,14,350.821362
-2.8349986,258,354.391963
-0.30388767,19,354.674976
-0.10819006,17,354.925629
-0.98172873,33,355.405836
-0.13693392,20,355.69661
-0.48840833,15,355.908652
-0.15029275,42,362.161559
0.10567665,30,362.595198
-0.38855356,17,362.849672
-0.21253115,28,363.249572
-0.6433443,20,363.550876
-0.16153163,16,363.781814
-0.3364902,24,364.131631
-0.30646718,31,364.571764
0.23607647,38,365.197877
0.28390324,31,365.655619
-0.018556833,30,366.119891
-0.6547174,15,366.352751
-0.4534673,15,366.576249
11.4520855,27,366.966179
-0.18590963,34,367.465539
0.09676039,37,367.994817
11.25047,34,368.483726
0.252316,23,368.831852
-0.3390944,30,369.261839
-1.1623306,30,369.699603
11.165215,37,370.234687
-1.0108494,25,370.598937
0.27541304,31,371.05366
0.16761148,28,371.467632
-2.8065853,258,375.275008
-2.8967156,258,378.92469
-0.74384946,27,379.317441
-0.27561367,16,379.554265
-0.25745475,19,379.831618
0.098051906,28,380.257754
-0.19778144,30,380.710004
-0.27662635,18,380.974955
0.25511873,37,381.487658
-0.4122886,27,381.872126
-0.36807412,33,382.362661
-0.26194775,31,382.799639
11.187851,36,383.318046
-0.19950086,41,383.905895
-0.113470554,30,384.342964
-0.38503087,20,384.631151
-0.40349096,53,385.385178
0.23279154,21,385.683668
-0.6778101,39,386.25381
11.525195,31,386.703938
-0.094145656,17,386.954732
-0.6739664,22,387.277007
-0.72199965,26,387.659488
11.3768215,35,388.154809
0.32689464,22,388.48256
-0.33952117,31,388.92055
11.119574,34,389.396988
-2.8439708,258,397.209808
-0.2542013,57,398.01041
-2.8537354,258,401.662721
-0.2201032,15,401.887591
-0.09453678,21,402.205694
-0.62458044,16,402.438795
-0.42638987,17,402.697225
0.28485513,38,403.230965
-0.116660714,16,403.46675
-0.63122785,20,403.761947
-0.28629255,16,404.004607
-0.37350148,14,404.217195
-0.28047264,17,404.460665
11.17675,26,404.837717
0.080284,27,405.230705
-0.1185658,27,405.619128
-0.11214185,30,406.050744
-0.8789002,30,406.487609
-0.3614511,52,407.222427
-0.2876231,17,407.473792
-0.19781387,37,408.024673
-0.044984102,30,408.475961
-0.3279755,18,408.738712
-0.07294726,20,409.05153
11.315401,26,409.434699
-0.5440291,26,409.842489
-0.04304695,28,410.279669
-0.16781825,17,410.542924
11.144147,28,410.961571
-2.7476573,258,414.675388
-0.8544759,32,415.327364
11.256297,29,415.843358
-0.45161915,18,416.137367
0.08159411,32,416.638929
-0.6507849,142,419.222536
-0.62379414,17,419.562466
-0.8542152,21,419.95136
-0.03449142,38,420.563313
-0.39569414,38,421.107257
-0.42515528,45,421.764397
-0.83544683,25,422.129766
-0.23506868,17,422.389328
-0.96167386,22,422.73056
-0.3473524,20,423.060667
-0.2722627,17,423.312665
-0.8900194,224,426.653822
0.036677837,33,432.581655
11.133864,39,433.181607
-0.51148427,151,435.355705
-0.6541724,6,435.456544
-0.32430547,21,435.757644
-0.33729035,36,436.267008
-0.29471022,24,436.609608
-0.13472867,32,437.056819
-0.30308282,28,437.468725
-0.20888227,17,437.711749
-0.8311025,34,438.205021
-0.19012034,30,438.636819
-1.15398,33,439.104534
11.522727,26,439.476713
-0.20811504,14,439.683593
11.517232,38,440.231891
-1.0542217,35,440.731
-0.15741217,18,440.991632
11.211279,27,441.377152
-0.06028974,29,441.81968
-0.3719334,34,442.347833
0.028839946,37,442.93764
11.341777,54,443.750879
-0.58616114,22,444.102008
-0.23557281,23,444.45497
-0.40686965,16,444.700602
-0.39571863,17,444.974951
-0.008951187,20,445.266517
11.473231,24,445.61474
-0.23511058,15,445.834805
0.09573138,31,446.274651
11.192536,39,446.903625
-0.27891576,33,447.432767
11.515976,29,447.85761
-0.8126599,38,448.516039
-0.914519,32,448.987652
11.304343,27,449.410819
-0.07843506,32,449.884744
-0.6947344,127,451.837616
0.054391503,31,452.296666
-0.22563857,30,452.727558
-0.038577795,30,453.162768
-0.586274,23,453.499026
-0.24751985,23,453.83363
-0.56758726,43,454.441602
-0.1638465,19,454.719639
-0.16725898,36,455.292691
-0.2679078,16,455.529796
-0.8798724,19,455.807411
-0.3522656,17,456.060776
-0.009072185,35,456.571732
11.03842,34,457.064818
-1.0777277,41,457.657981
0.25148797,31,458.125965
-0.4801466,18,458.39169
0.035921097,35,458.913732
-0.19193852,17,459.180554
-0.774462,18,459.469111
0.42735732,35,459.974731
0.16202235,34,460.467741
11.565485,32,460.945768
0.15629816,35,461.491711
-0.68119955,21,461.794585
-0.70306253,28,462.194983
-0.48459983,21,462.503987
-0.5785239,18,462.766594
-0.2248919,27,468.530765
0.1192863,51,469.256814
0.08230829,27,469.649706
-0.106524706,35,470.159228
11.410336,31,470.617625
-0.73546153,24,470.985793
-0.17422563,16,471.224633
-0.3622281,80,472.356471
-0.42723358,35,472.848749
-1.0959294,37,473.381526
11.194334,27,473.786562
-0.03741777,19,474.076167
-0.047418118,20,474.36697
11.231113,29,474.784797
0.15947068,34,475.286081
-0.8199593,23,475.619663
-0.58593947,17,475.936888
-0.8345727,26,476.318683
-0.28564924,40,476.895685
-0.6611239,123,478.777728
11.289376,28,479.288073
11.494065,26,479.738714
-0.5997422,14,479.980383
-0.330189,30,480.452973
0.046606302,25,480.827599
-0.83716583,26,481.236838
11.250042,28,481.681659
-0.22739458,24,482.136698
-0.6386403,20,482.461749
-0.33185512,19,482.824346
-0.5013951,90,484.237008
0.026592731,21,484.550641
11.214168,48,485.276284
-0.24417776,18,485.577341
11.315525,25,485.955628
-0.27322614,16,486.210654
-1.0454962,26,486.609116
11.391953,34,487.117599
-0.9610211,25,487.482395
-0.34050465,28,487.885649
0.16664696,38,488.429789
-0.70736647,34,488.922744
-0.31336278,29,489.349959
-0.63090783,136,491.303007
11.174859,26,491.702577
-0.6758258,17,491.960553
-0.3215282,35,492.470728
-0.7951505,36,492.982551
-0.056546807,34,493.470725
-0.14590442,27,493.900242
-0.35779756,32,494.357753
0.00084888935,29,494.781605
11.442822,28,495.221566
-1.1080353,28,495.649615
-0.8698232,29,496.095735
-0.36897898,23,496.45269
-0.25140625,36,497.03392
-0.27363664,15,497.325928
-0.2997675,16,497.594619
-0.20412678,26,497.999738
-0.33813256,32,498.579739
-0.12356979,26,499.015751
-0.32666975,18,499.29372
-0.89984536,31,504.46777
11.216682,28,504.891891
-0.31925368,15,505.124741
-0.007301092,29,505.541729
0.0010749102,31,505.987606
-1.0580466,24,506.336782
-0.8387406,36,506.84481
0.07899666,34,507.337687
-1.1077074,33,507.846791
0.0009824038,27,508.242917
-0.18958014,18,508.506766
-0.9968935,26,508.887654
-0.32381797,34,509.376748
-0.22113669,18,509.651821
11.403693,31,510.133522
-0.35730225,33,510.612415
-0.39533877,17,510.886624
0.17268503,35,511.389654
-0.33067888,48,512.061919
-0.28767318,17,512.309904
-0.2959476,36,512.819775
11.060163,32,513.327394
0.058792114,20,513.627884
0.019073486,18,513.890898
-0.36636126,17,514.145625
11.511342,25,514.507597
-2.7649205,258,518.120523
-0.4491567,18,518.386616
-0.018488288,18,518.6528
-0.47478145,31,519.09668
-0.18855697,32,519.59164
0.12865198,30,520.021828
-0.42602414,29,520.439752
0.02711308,20,520.727371
-0.1986602,16,520.965708
11.347682,33,521.439034
-0.59966785,22,521.76558
-0.01799047,29,522.19532
-0.2519099,16,522.427516
0.08822358,35,522.917539
-0.4136858,17,523.167876
-0.51765025,15,523.388663
-0.35381562,41,523.967672
-0.12759066,27,524.366847
-0.65453297,39,524.940024
-0.02613151,35,525.446703
11.307834,26,525.81758
-0.26027828,21,526.152742
11.138582,42,526.761751
-1.1513951,42,527.387902
-0.15355057,18,527.675735
-0.5226613,19,527.951362
-0.048553467,18,528.23326
-0.97895,43,528.859953
-0.22166789,20,529.155642
-0.15900034,16,529.389197
-0.7575902,5,529.479075
-0.28388262,34,530.012707
-0.2889548,30,530.461569
-0.22297132,17,530.714883
-0.106553435,34,531.213921
-0.73547804,25,531.582352
-0.3749588,20,531.8796
-0.9614696,23,532.217698
-0.9069971,42,532.823648
-0.3132788,24,533.172587
0.11614072,21,533.476569
-0.704615,41,534.100699
-0.4650681,159,541.402524
-0.3881777,28,541.819223
-0.7567438,36,542.34277
-0.30679882,16,542.576755
-0.17812067,16,542.820594
-0.25469112,16,543.057585
-0.09344369,25,543.426229
11.39797,30,543.854755
-0.29011774,26,544.253762
-0.4381737,122,545.992661
-0.39280146,16,546.229945
-0.0016443729,27,546.638157
-0.3613363,18,546.926896
-0.16032606,17,547.198798
-0.6806034,20,547.501527
11.439091,23,547.872761
0.030659318,22,548.242591
-0.20000595,40,548.860678
-0.9563209,26,549.248763
-0.21523458,27,549.672952
-2.7233515,258,553.842637
11.165786,27,554.373741
0.052126765,19,554.719948
-0.42421496,30,555.339969
11.1267805,36,556.062787
-0.8631785,34,556.849772
-0.363757,14,557.077943
-0.26091617,28,557.540968
-0.61810905,14,557.791862
-0.48997653,20,558.13263
0.16566443,30,558.630004
11.450399,35,559.257864
-0.629236,20,559.619537
-0.2530052,29,560.079607
-0.13596821,24,560.426639
11.294612,45,561.122549
-0.70593846,184,563.962008
-0.38446403,83,565.361721
-0.041888118,19,565.823709
-1.1371894,40,566.437999
-0.3190416,18,566.699955
-0.61093783,20,566.99064
-0.24960202,15,567.225119
-0.6781502,41,567.805684
11.158989,41,568.403584
0.052778363,19,568.684718
-0.20619953,36,569.20097
-0.39016277,27,569.650253
11.078512,27,570.047023
0.1631316,21,570.400284
-0.10275376,18,570.731666
-0.6107342,24,571.107972
11.134305,43,571.726824
-0.32110053,70,578.774988
0.1775335,30,579.241595
-0.30702722,36,579.788002
-0.05989504,30,580.227677
11.101744,24,580.577041
-0.27324623,54,581.384021
-0.080982566,16,581.620726
-0.404872,17,581.87174
-0.12608767,18,582.137254
-0.3078689,28,582.542716
-0.8971573,20,582.838974
-0.18344778,19,583.114641
11.164335,33,583.612875
0.19693601,27,584.009556
-0.61556375,17,584.265222
-0.23896241,18,584.534846
-0.5472668,18,584.804805
-1.0757653,34,585.318967
-1.0850916,37,585.857965
11.378701,31,586.342806
-0.5908698,114,588.042522
-0.6417909,32,588.546151
-0.13231403,30,589.025694
-0.019889593,33,589.522542
-0.3686667,18,589.785732
11.41094,24,590.132673
-0.4100628,32,590.613931
-0.38381463,14,590.818955
-0.5734408,140,592.813703
-0.48276275,26,593.192456
-0.43647534,16,593.434564
-0.39029557,65,594.384812
11.196019,27,594.797732
-0.8966901,28,595.247364
-0.22412342,30,595.703258
-0.59824353,36,596.240706
-0.1159631,27,596.70579
-2.7161088,258,600.749792
-0.6561972,17,601.027014
-0.29107356,29,601.534544
-0.087741256,18,601.834914
-0.53373826,41,602.624951
11.372574,32,603.197921
0.19046807,31,603.726959
-0.61106104,35,604.24483
11.132202,26,604.633671
11.376611,27,605.042591
-0.45200902,15,605.27459
0.019782186,28,605.701712
-0.23292953,29,606.139768
-0.56330335,41,606.740988
-0.7123641,31,607.200667
-0.6298887,38,607.773695
11.442969,21,608.085879
-0.14358908,17,608.352525
-0.41883242,136,615.394905
-0.34930766,28,615.798703
0.14153159,29,616.222923
-0.41997188,60,617.087557
-0.77390623,24,617.439481
0.028950453,27,617.829807
-0.41915917,28,618.30387
-0.5192754,54,619.176678
-0.28703576,29,619.633968
-1.0690348,26,620.057906
11.205609,30,620.5005
11.306835,20,620.795771
-0.30303377,29,621.224697
-0.33106714,14,621.448004
-0.7726116,21,621.761899
-0.22753847,18,622.08056
-0.30506927,19,622.361629
-0.70050716,28,622.770964
-0.40940374,21,623.078824
-0.26772803,21,623.38895
-0.04986024,24,623.745761
11.328205,49,624.475284
-0.27214813,43,625.108745
-0.9048003,24,625.471778
11.154164,30,625.920901
-0.55251706,26,626.213826
-0.31957543,13,626.34794
-0.29268712,65,626.948695
11.316671,30,627.21098
11.042328,30,627.512423
-0.21850419,19,627.692664
11.09837,48,628.155584
0.24565268,23,628.377261
-0.17491072,16,628.526903
-0.23144478,22,628.725172
-0.38155818,25,629.001584
11.106244,36,629.35353
0.17597914,22,629.584564
-0.30597812,25,629.807916
-0.11430842,19,629.984782
-0.56146485,16,630.13489
-0.31635237,38,630.582462
-0.17584115,18,630.776638
-0.51810646,21,630.978768
-0.26945615,132,632.257539
11.295949,31,632.546914
-0.05872202,17,632.726923
0.07342005,30,633.001086
-0.16891998,40,633.369942
-0.082114756,25,633.611717
-0.5605526,125,634.746787
11.414889,21,634.938842
-0.32615405,29,635.217653
11.441149,27,635.469503
-0.47860724,42,635.844711
-0.46495503,16,635.999959
0.09938586,27,636.249727
-0.058987737,18,636.450028
-0.36456645,32,636.732743
0.13025856,28,637.02304
-0.41702127,17,637.183869
-1.0998557,55,637.671366
-0.23088288,33,637.956811
0.11356461,29,643.082027
-0.19922698,27,643.332594
-0.025848866,18,643.509132
-0.5409022,24,643.733831
-0.273256,16,643.889784
-0.2519672,20,644.07971
-0.26907897,19,644.255908
-0.73527133,5,644.315651
-0.29231077,33,644.61155
-0.41280246,32,644.921637
-0.19872141,16,645.092804
11.30373,48,645.546942
-2.7095742,258,647.89379
-0.7790266,26,648.131707
-0.29396284,17,648.292025
0.16936374,32,648.57473
11.270195,36,648.896761
-0.719851,38,649.232744
11.225832,34,649.539814
-0.81681514,24,649.77945
-0.20615488,19,649.957676
0.009908676,18,650.133602
-0.43928224,29,650.415457
-0.22494578,57,650.919683
-0.9119617,31,651.221901
-0.09561837,30,651.496001
-0.04181552,21,651.697671
0.213323,25,651.925979
-0.20144075,28,652.186964
0.0070000887,19,652.363801
-0.45425767,26,652.605086
-0.22382051,19,652.783651
11.325722,31,653.059379
-0.059447408,20,653.261744
-0.64032406,49,653.685903
11.159965,32,653.998809
-0.2144233,29,654.273697
11.208016,32,654.562543
11.387445,32,654.86362
-0.65974116,16,655.01898
-0.67016006,15,655.169794
-0.21801662,26,655.41172
11.4167385,25,655.634926
-0.13450593,18,655.807301
-0.337089,28,656.056773
0.06082523,27,656.300693
11.463259,25,656.533856
-0.62596667,33,656.830738
-0.15310872,19,657.012311
-2.625548,258,659.293751
11.187003,32,659.607594
-0.1821602,27,659.858659
-0.23890644,26,660.091978
-0.5025763,15,660.232095
-0.26934314,29,660.497783
-0.34719765,28,660.769792
-0.19145906,16,660.929762
-0.36788082,19,661.114377
-0.3868513,72,661.795787
-0.34753543,38,666.36087
-1.1443571,30,666.652305
-0.19891602,22,666.86904
-0.3730812,15,667.030627
11.156488,27,667.291629
-1.0349419,45,667.715684
-0.33382362,18,667.88267
-0.26043624,19,668.076881
11.241799,42,668.510895
-0.7639394,26,668.758798
-0.20940155,26,669.005881
-0.7883627,34,669.315745
11.458238,30,669.587287
11.322433,21,669.787886
-0.3638627,36,670.110739
11.430215,36,670.447116
-0.046085,18,670.620613
11.276264,32,670.97782
11.290728,29,671.330746
-0.8275759,30,671.766754
-0.5431468,17,671.965406
-0.37468743,45,672.482679
-0.21583068,47,672.951726
11.317769,39,673.323712
-0.2841974,22,673.535615
-0.17935532,30,673.812902
0.014542222,34,674.121719
-0.4240262,29,674.381657
11.033876,28,674.653745
-0.38001466,65,675.241704
-0.41829503,68,675.839982
-0.38254285,18,676.009699
-0.18325275,19,676.18361
-0.22798848,16,676.336977
-0.1543119,19,676.509956
11.202089,30,676.816753
-0.43488878,26,677.056298
-1.1958499,73,677.733109
-0.0931195,31,678.019747
-0.36136103,50,678.469818
-0.090347946,26,678.711788
-0.8234544,22,678.911898
0.032276034,29,679.172592
-0.082426965,17,679.330812
-0.063382745,28,679.587569
-0.42110926,18,679.760807
11.374458,35,680.077097
-0.17741495,18,680.251609
-0.50722086,21,680.446748
11.383718,29,680.704721
-0.3277796,19,680.890518
-0.8914062,16,681.050791
-0.24179351,90,681.83973
-0.34016067,35,682.149955
-0.37347132,33,682.447967
-0.08483207,35,682.757144
0.033897042,24,682.972676
-0.3984462,26,683.217853
-0.4614768,110,684.267295
-0.045274794,18,684.431777
-0.30470288,18,684.612877
-0.3747806,76,685.255907
-0.17607635,43,689.4565
-0.09124184,30,689.716878
-1.0052817,43,690.095565
0.16328263,27,690.352987
-0.4718693,23,690.578821
11.207241,29,690.851564
-0.3350727,24,691.077548
-0.15707177,27,691.31559
11.15748,31,691.612648
11.311823,31,691.896925
-0.39472437,15,692.044915
11.220346,30,692.314688
-0.67063266,21,692.516963
11.217492,38,692.859079
-0.26683027,16,693.017744
-1.0466177,25,693.259067
-0.08134043,18,693.425673
-0.40657973,15,693.566549
-0.6474706,34,693.869962
-0.33137792,32,694.155894
11.417911,27,694.397984
-0.2345838,27,694.65485
-0.57719815,14,694.789456
11.421441,25,695.028037
-0.65699476,39,695.381958
0.054976225,20,695.564105
-0.19499922,15,695.729945
-0.1882549,33,696.01922
-0.42020702,26,696.257863
-0.2706439,22,696.471014
-0.39353675,24,696.68794
-0.3451599,25,696.916991
-0.2864254,22,697.124043
-0.037375927,26,697.364954
-0.14406168,61,697.903563
-0.24900073,18,698.069961
11.182923,30,698.34203
-0.9832182,40,698.708729
-0.5237447,27,698.957673
0.035375357,31,699.253582
-0.1792286,24,699.480802
-0.14896542,19,699.663624
11.352191,27,699.914757
11.423705,31,700.21274
0.022681236,19,700.414621
-0.36514652,33,700.705528
-0.184712,31,700.985159
-0.1731019,16,701.136904
-0.1345737,18,701.311751
-0.7064059,25,701.566971
-0.95971596,25,701.79663
-0.4542476,15,701.94137
11.322137,24,702.192517
0.22469401,36,702.519196
-0.66919,29,702.778995
0.014003038,30,703.047202
-0.361139,40,703.404757
-0.3273692,28,703.66204
-0.4575191,39,704.001883
-0.6940172,24,704.237577
-0.32821083,19,704.434854
-0.11330986,19,704.613432
-0.30574036,25,704.837938
-0.5223801,18,705.007549
-0.24928313,29,705.302608
-0.22972745,15,705.447956
-0.44962662,26,705.688323
11.209635,29,705.979728
11.293248,23,706.194726
-0.8095592,26,706.452899
0.33195364,34,706.755653
0.18369997,22,706.957793
0.026671767,30,707.242603
0.0031764507,29,707.524525
-0.47706062,25,707.750582
-0.58842015,19,707.927654
-0.453691,40,708.283433
-0.35924894,33,712.242008
-0.041634798,23,712.451275
-0.5528373,107,713.393664
-0.28678066,22,713.599799
-0.83690107,29,713.859531
-0.24122888,22,714.063659
-0.6313052,20,714.251006
-0.91048336,24,714.479172
0.027640104,27,714.726131
-0.7250497,165,716.154328
-0.43206567,27,716.419693
-0.09964204,19,716.59693
11.233571,27,716.848946
0.08419502,29,717.119315
-0.15608025,27,717.36929
-0.68230844,19,717.549816
11.429113,27,717.804136
11.134314,39,718.160004
-0.19625866,25,718.392529
-0.51736045,130,719.546526
11.359705,35,719.8664
0.07324731,37,720.224971
-0.4694476,16,720.375674
-0.49729615,38,720.729566
11.392723,28,720.991693
