#{"t_start": 1746547430.1240034, "env_id": "None"}
r,l,t
-32.60637,258,8.835849
-14.209393,258,12.401931
-10.587086,258,15.881624
-9.958385,108,17.39678
-1.7160101,18,17.654714
-1.9480579,17,17.888975
-0.36918306,18,18.137624
-11.640486,258,21.727596
-12.934691,258,25.293733
-12.884667,258,28.88258
15.9334135,21,29.178759
-0.20697165,19,29.453589
-0.36573195,15,29.669552
-6.744071,258,33.239658
-1.9524763,17,33.483425
13.085506,20,37.965792
-1.1526945,16,38.186162
-1.8310415,225,41.262535
11.274551,155,43.414015
-0.24193883,16,43.649645
12.096585,20,43.934718
-5.137825,258,53.245713
-0.48018217,21,56.046406
11.990017,28,59.779932
-3.572437,258,64.789723
-4.108395,258,71.332137
-0.45764303,14,71.532066
-0.79545486,15,71.750309
-0.73903525,16,71.985705
11.720892,52,72.728705
-4.4571486,258,76.371091
11.467407,44,76.992631
-4.725401,258,80.578311
0.06639874,52,81.295735
-0.48186004,14,81.529402
-0.18149173,15,81.75454
11.333438,97,87.579136
0.10042763,56,88.395896
11.5865345,44,89.001546
-0.91573876,147,91.047573
-0.24377847,18,91.299246
0.045050025,30,91.719668
-3.347793,258,95.313521
-3.902739,258,98.861707
-0.35792625,20,99.141669
-1.2236459,19,99.4211
-0.11206603,19,99.690733
-0.57771647,14,99.897011
-0.13655984,39,100.452873
-0.3047098,16,100.692821
-0.52179193,15,100.910813
11.53567,28,101.31321
-3.8753655,258,104.731764
-4.6923795,258,108.353555
-4.1584845,258,111.967577
-4.18456,258,116.565702
-0.55102706,18,116.869446
-0.5443671,111,118.437036
11.710104,42,119.0277
11.716764,39,119.574931
-0.703807,27,119.951501
11.992345,25,120.309063
-0.3162346,16,120.544584
-3.912168,258,124.170722
-0.396909,55,124.942869
11.736536,23,125.287798
0.019569397,19,125.576705
-3.588574,258,129.177666
-0.29193747,14,129.393793
-0.92945755,5,129.482916
-0.2730757,18,129.757726
-3.688632,258,133.389768
11.701648,30,133.819191
11.4842415,32,134.284942
-3.6734066,258,137.834653
11.737517,23,138.155656
-0.18356514,17,138.416945
-3.5182,258,142.064706
-0.6345346,18,142.326996
11.760405,22,142.645136
-0.6264332,89,143.887945
-0.7269304,157,150.4192
-0.23798609,18,150.671394
11.673474,39,151.2177
0.2106626,32,151.693821
0.34053755,28,152.091718
-0.28855944,15,152.311647
0.052732825,41,152.89477
-0.7470459,16,153.149148
0.11085248,18,153.40148
-3.261044,258,157.00384
-0.4783154,15,157.213833
11.552876,32,157.67067
-0.77437544,16,157.917105
-0.23360062,18,158.181687
-0.7813613,21,158.489156
0.05997765,19,158.756588
-0.12775946,42,159.35158
11.7032385,20,159.636666
-3.3971853,258,163.25677
-0.79292077,21,163.565882
11.6828375,40,164.135656
-0.7427808,28,164.561787
-3.5436764,258,168.107728
-0.6377031,80,169.217215
-3.2332885,258,172.863761
11.696644,28,173.314004
11.303787,89,174.752495
11.172259,51,175.504725
-0.3658774,75,176.561711
0.13019085,28,176.972403
-0.23194432,16,177.204973
-3.5423503,258,186.510936
11.302184,35,187.196771
-0.58188486,46,187.869469
-0.56444246,19,188.158809
-0.29693258,14,188.382693
-0.3130923,39,188.951362
-0.15393496,19,189.233663
11.526715,32,189.700968
-0.32593572,29,190.117833
-0.06833029,20,190.534696
-0.20767772,16,190.78381
11.552679,20,191.062544
-0.13105786,18,191.380608
-0.042967796,17,191.625598
-0.021667361,66,192.55721
11.274459,46,193.200891
11.679782,23,193.536889
0.07502818,51,194.249175
-0.22843575,18,194.517645
-0.39590955,15,194.737228
-0.9600816,25,195.106693
-0.4857763,17,195.400612
-0.1702007,64,196.311689
11.184255,81,197.602911
11.484029,22,198.056672
-0.6938338,21,198.377842
-0.87722355,6,198.47777
-0.10001755,16,198.717723
11.341234,41,199.36346
0.17154884,22,199.707784
-0.7693374,19,200.000763
-1.0448452,20,200.316545
-0.28085798,41,201.185754
-0.15691102,20,201.531271
-0.4375469,16,201.770915
-2.7186604,258,205.306962
-0.8821841,21,205.611524
-0.77696186,19,205.890638
-0.26505166,17,206.14057
-0.13778508,16,206.375649
-0.15016341,18,206.637612
-0.12289691,32,207.097812
-0.29022086,43,207.744007
11.271215,28,208.147831
-0.4030726,18,208.419607
-0.6197161,18,208.684266
-0.19401443,41,209.274715
-0.67101413,23,209.597667
-0.7453002,22,209.900811
-3.1132019,258,213.465543
0.04982841,20,213.754956
-0.6838194,161,221.296648
-1.190809,27,221.73285
-0.3728428,16,221.971714
-0.392406,20,222.251743
-0.5367831,17,222.497797
0.21565235,23,222.832413
-0.7611655,23,223.190871
0.13672173,61,224.074862
11.332404,46,224.733005
-0.8430619,16,225.03057
11.142407,60,225.890905
11.125957,73,226.920647
-0.278086,16,227.155848
-0.22871554,18,227.415648
-3.1217315,258,230.996819
-0.46824104,16,231.229559
11.319139,71,232.262394
0.06544864,21,232.606015
-0.56634575,15,232.838014
-0.05570376,34,233.327618
-1.035107,35,233.838999
0.17268264,39,234.451942
-0.15296173,40,235.087869
-0.450858,15,235.321599
-0.19879645,14,235.549526
-0.29253268,26,236.011722
-2.9737628,258,239.809047
0.10443759,38,240.378939
-0.7422415,21,240.679889
-0.23674345,16,240.915904
-0.23366046,29,241.337971
11.426895,32,241.790729
-0.6700416,18,242.051727
-3.099156,258,245.826524
-0.17509747,54,246.647701
-0.596482,21,246.991633
-0.015391588,37,247.536574
11.405814,30,247.973084
11.583014,24,248.321522
-0.36593133,17,248.595834
0.17736328,42,249.212987
-0.2588247,38,249.766576
-0.06296456,35,253.781873
-0.68228185,16,254.028897
11.497926,22,254.345613
-0.37308604,16,254.592989
-0.047654748,18,254.851797
-0.59030837,18,255.112725
-0.0072209835,33,255.6126
